KKS (Mask KKS)*	Delta*	Name	Munit	Discrete(NULL or any_value)	SystematicError
1?JEC?1CT8??XQ01	0.5	hello	°C		0.5
1?JEC?3CT8??XQ01	0.5	T ÕÍ	°C		0.5
10JAA??CT8?1XQ01	1	ÒÏ-3	°C		1
10JAA??CT8?2XQ01	1	ÒÏ-1À	°C		1
10JAA??CT8?3XQ01	1	ÒÏ-1Á	°C		1
10JAA??CT8?4XQ01	1	Ò òåðìîñòàò	°C		
10JAA??CT8?5XQ01	1	Ò ïîä êðûøêîé	°C		
10JEC01FT901XQ02	0.5	VT ñð ïî ÕÍ	°C		
10JEC02FT901XQ02	0.5	VT ñð ïî ÃÍ	°C		
10JEC?1FT901XQ02	0.5	VT ÃÍ	°C		
10JEC?3FT901XQ02	0.5	VT ÕÍ	°C		
10JEC02FT901XQ01	0.25	T ñð ïî ÃÍ	°C		
10JEC01FT901XQ01	0.25	T ñð ïî ÕÍ	°C		
10JEC?1FT901XQ01	0.25	T ÃÍ ñð	°C		
10JEC?3FT901XQ01	0.25	T ÕÍ ñð	°C		
10JEC00FT901XQ01	0.25	dT ñð	°C		
10JEC?0FT001XQ01	0.25	dT â ïåòëå	°C		
10JAA10FT001XQ01	1	Ò íàñ â ð-ðå	°C		
10LAB00FT901XQ02	1	ñð Ò ÏÂ â ÏÃ	°C		
10LAB?0FT001XQ01	1	Ò íàñ â ÏÃ	°C		
10LAB?0FT002XQ01	1	Tíàñ 1ê - Ò íàñ 2ê	°C		
10JEC?1FT901XQ03	1	 çàï äî Òíàñ	°C		
10JEC?0CP8?2XQ62	0.01	myname		
10BB?00CE8??XQ62	0.07	×àñò ïèò ÃÖÍÀ	Ãö		
10JAA10CP8??XQ62	0.15	P íàä ÀêÇ	ÌÏà		
10JEB?0CE8??XQ62	100	N ÃÖÍÀ	êÂò			
10JR?02ED6???XE1	1	ñîñò. ïåòëè	 - 	discrete		
10JAA10CP201XQ01	0.125	P íà âûõîäå	ÌÏà		
10JAA10FP201XQ01	0.125	P íà âõîäå â ð-ð	ÌÏà		
10JAA10CP202XQ01	0.125	P ÀêÇ	ÌÏà		
10JAA10CP203XQ01	0.004	dP ð-ðå	ÌÏà		
10JEA?0CP001XQ01	0.06	P íà âûõîäå èç ÏÃ	ÌÏà		
10LAB?0CT901XQ01	1.7	T ÏÂ â ÏÃ	°C		
10LAB?0CP001BXQ1	0.07	P ÏÂ â ÏÃ	ÌÏà		
10LCQ?5CF001XQ01	0.3	 F íåïð ïðîä	êã/ñ		
10LCQ?6CF001XQ01	0.3	 F ïåðèîä ïðîä	êã/ñ		
10LCQ10CF001XQ01	0.8	 F íà íàïîðå âîçâð	êã/ñ		
10JAA10FP901XQ01	0.06	ñð P íàä ÀêÇ	ÌÏà		
10JEB?0FU001XQ01	1	ñîñò ïåòëè	 - 		
10JKS00FU003XQ01	1	ðåæèì ðàáîòû ÐÓ	 - 		
10JEC?0FP901XQ01	0.003	ñð dP íà ÃÖÍÀ	ÌÏà		
10JEC?0FF002XQ01	150	FV â ïåòëÿõ	ì3/÷		
10BB?00FE901XQ01	0.03	ñð ÷àñò ïèò ÃÖÍÀ	Ãö		
10JEB?0FE901XQ01	50	ñð N ÃÖÍÀ	êÂò		
10JEA?0CL00?XQ01	8	L ÏÃ	ìì		
10JEC?0FF001XQ01	120	FM â ïåòëÿõ	ò/÷		
10JEC00FF903XQ02	300	ñóì FV 	ì3/÷		
10JEC00FF903XQ01	240	ñóì FM	ò/÷		
10JEF10CL905XQ01	0.04	L ÊÄ	ì		
10LBA00CP901XQ01	0.004	P ÃÏÊ	ÌÏà		
10JEC?0CP001XQ01	0.004	dP íà ÏÃ	ÌÏà		
10JAA10FP901XQ02	0.1	V (P) ÑÐ ÍÀÄ ÀÇ	ÌÏà/÷		
10JAA10FP901XQ03	0.1	P ÐÅÀÊÒ	Ìïà		
1CLN0?CU001?XQ31	0.1	N òåêóùàÿ	%Níîì		
1CLN0?CU001?XQ32	0.1	N â äèàïàçîíå ÐÄ2	%Níîì		
1CLN0?CU001?XQ33	0.1	N â äèàïàçîíå ÐÄ1	%Níîì		
1CLN0?CU001?XQ34	0.1	N â äèàïàçîíå ÏÄ	%Níîì		
1CLN0?CU001?XQ35	0.1	N â äèàïàçîíå ÈÄ	%Níîì		
1CLN0?CU001?XQ36	0.1	 N äëÿ ðàñ÷åòà ðåàêòèâíîñòè (âêëþ÷àÿ ÀÔÏ)	%Níîì		
1CLN0?CU051?XN01	0.1	Ðàáîòà â äèàïàçîíå (1-ÈÄ, 2-ÏÄ, 3-ÐÄ1, 4-ÐÄ2)	îòí.åä.		
1CLN0?EH051?XN04	0.1	Ïðîâåðêà ÀÊÍÏ	îòí.åä.		
1CLN0?EH051?XN03	0.1	Ïðîâåðêà ÀÊÍÏ	îòí.åä.		
1CLN0?EH051?XN01	0.1	Íåèñïðàâíîñòü ÀÊÍÏ	îòí.åä.		
10KUB11CQ001XQ01	0.08	C áîð ð-ðå	ã/äì3		
10JDA00FG0??XQ01	1	Ïîëîæåíèå ÎÐ ÑÓÇ	ñì		
10JDA00FG1??XQ01	1	Ïîëîæåíèå ÎÐ ÑÓÇ	ñì		
10JDA00FG9??XQ01	1	ðàññîãëàñîâàíèå ãðóïï ÎÐ ÑÓÇ			
10JDA00FG0??XQ02	1.5	Ïîëîæåíèå ÎÐ ÑÓÇ â %	%		
10JDA00FG1??XQ02	1.5	Ïîëîæåíèå ÎÐ ÑÓÇ â %	%		
10JDA00FG9??XQ02	1	Ïîëîæåíèå ãðóïï ÎÐ ÑÓÇ	%		
1CLN0?FU001?XQ31	100	Ïåðèîä ðåàêòîðà	ñåê		
10JKS55FT???XQ01	1	Ðàñ÷åòíàÿ Ò íà âõîäå â ÒÂÑ	°C		
10JKS53FT???XQ01	1	Ðàñ÷åòíàÿ Ò íà âûõîäå èç ÒÂÑ	°C		
10JKS50FT???XQ01	1	DNBT	°C		
10JKS58FT???XQ01	1.5	DT ÒÂÑ ðàñ÷	°C		
10JKS56FT0??XQ01	0.8	DT â ÒÂÑ ïî ÊÍÈÒ	°C		
10JAA??CX8??XQ01	0.0023	Òîê ÄÏÇ êîð	ìÀ		
10JAA??CX8??XQ03	0.0023	Òîê ÄÏÇ íåêîð	ìÀ		
10JKS06FX???XQ01	1	KQ	îò.åä.		
10JKS10FX901XQ01	1	Îôñåò			
10JKS11FX901XQ01	1	Îôñåò ïî ÄÏÇ			
10MKA1°CE911XQ01	13	Àêòèâíàÿ ìîùíîñòü ãåíåðàòîðà	ÌÂò		
10MKA10FE911XQ01	13	N ÝË	%		
10JKS85FX???XQ01	1	KQ ÈÐ			
10JKS86FX???XQ??	1	KV 16 ÈÐ			
10JKS14FX???XQ0?	1	KV 7			
10JKS01FX???XQ??	1	KV 16 			
10JEC00FU001XQ01	33	N 1 êîíòóðà	ÌÂò		
10JEC00FU001XQ02	0.5	N 1 êîíòóðà	%		
10JEC?0FU001XQ01	17	N ïåòåëü 1 êîíòóðà	ÌÂò		
10JKS00FU001XQ01	18	N ÄÏÇ	ÌÂò		
10JKS00FU001XQ02	0.5	N ÄÏÇ	%		
10JKS00FU901XQ01	18	N ÀÊÇ	ÌÂò		
10JKS00FU901XQ02	0.5	N ÀÊÇ	%		
10JKS00FU901XQ05	18	N ÀÊÇ (ñð. äëÿ mf)	ÌÂò		
10JKT00FU001XQ01	19	N ÀÊÍÏ	ÌÂò			
10JKT00FU001XQ02	0.5	N ÀÊÍÏ	%			
10LAB00FU001XQ01	33	N 2 êîíòóðà	ÌÂò		
10LAB00FU001XQ02	0.5	N 2 êîíòóðà	%		
10LAB?0FU001XQ01	0.5	N ïåòåëü 2 êîíòóðà	ÌÂò		
10JKS22FX???XQ0?	1	QED	ÌÂò		
10JKS27FX???XQ0?	1	QL ÏÅÐÈÔ. ÒÂÝË	Âò/ì		
10JKS26FX???XQ0?	1	QL ÒÂÝÃ	Âò/ì		
10JKS25FX???XQ0?	1	QL ÒÂÝË	Âò/ì		
10JKS38FX???XQ??	1	QV			
10KBA60CQ001XQ01	0.08	Q ÁÎÐ Â ÏÎÄÏ 1Ê	ã/äì3		
10JKS00FQ001XQ01	0.1	Êðèò. êîíö. ÁÊ	ã/äì3		
10LAB?0FF901XQ01	120	ÌÀÑ F ÏÂ Â ÏÃ	ò/÷		
10JEF10CL00?XQ01	0.04	L ÊÄ	ì		
10JEF10CT910XQ01	1	T Â ÊÄ	°C		
10JEF10CP001XQ01	0.1	P Â ÊÄ	ì		
10LAB00FF903XQ01	100	ÑÓÌÌ ÌÀÑ F ÏÂ Â ÏÃ	ò/÷		
10LAB00FF903XQ02	100	ÑÓÌÌ ÎÁÚÅÌ F ÏÂ Â ÏÃ	ì3/÷		
10LAB?0FF001XQ01	100	F ÏÂ Â ÏÃ ÌÀÑÑ	ò/÷		
10LAB?0FF002XQ01	100	F ÏÂ Â ÏÃ ÎÁÚÅÌ	ì3/÷		


10CML01FP001XQ01	1	P2_ÇÀÄ			
10CML01FP002XQ01	1	P2_ÒÅÊ			
10CML01FP003XQ01	1	P2_ÇÎÍÀ			
