Белорусская АЭС-1-СВБУ  АРМ ЦТП-1 (10CKD02)
Имя пользователя: ATE_SMATE, Имя протокола: NVATE_CFDI/JEC 
Создано: 30.01.2020 22:34:01, Выборка: 30.01.20 18:20:00 - 30.01.20 18:50:00
Время	KKS	Знач	Ед.изм	Дост	Описание	
30.01.20 17:48:36,000	10JEC41CT812V_XQ01	287	°C	дост	Темп тепл гор петл4 0-400 ГРАД	
30.01.20 17:48:38,000	10JEC21CT841X_XQ01	287	°C	дост	Темп тепл гор петл2 0-400 ГРАД	
30.01.20 17:48:41,000	10JEC31CT831Y_XQ01	287	°C	дост	Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:48:53,000	10JEC43CT002_XQ01	287	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:48:56,000	10JEC43CT001_XQ01	286	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:48:59,000	10JEC11CT911A_XQ01	287	°C	дост	2V3Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:49:00,000	10JEC11CT832V_XQ01	287	°C	дост	Темп тепл гор петл1 0-400 ГРАД	
30.01.20 17:49:01,000	10JEC21CT911A_XQ01	287	°C	дост	2V3Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:49:02,000	10JEC32CT001_XQ01	285	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:49:05,000	10JEC31CT831X_XQ01	287	°C	дост	Темп тепл гор петл3 0-400 ГРАД	
30.01.20 17:49:05,000	10JEC31CT931A_XQ01	287	°C	дост	МО Темп тепл гор петл3 0-400 ГРАД	
30.01.20 17:49:06,000	10JEC11CT841X_XQ01	287	°C	дост	Темп тепл гор петл1 0-400 ГРАД	
30.01.20 17:49:07,000	10JEC11CT922B_XQ01	287	°C	дост	МО Темп тепл гор петл1 0-400 ГРАД	
30.01.20 17:49:10,000	10JEC11CT812V_XQ01	287	°C	дост	Темп тепл гор петл1 0-400 ГРАД	
30.01.20 17:49:10,000	10JEC11CT912B_XQ01	287	°C	дост	МО Темп тепл гор петл1 0-400 ГРАД	
30.01.20 17:49:11,000	10JEC41CT811X_XQ01	287	°C	дост	Темп тепл гор петл4 0-400 ГРАД	
30.01.20 17:49:15,000	10JEC21CT812V_XQ01	287	°C	дост	Темп тепл гор петл2 0-400 ГРАД	
30.01.20 17:49:15,000	10JEC21CT912B_XQ01	287	°C	дост	МО Темп тепл гор петл2 0-400 ГРАД	
30.01.20 17:49:16,000	10JEC31CT932B_XQ01	287	°C	дост	МО Темп тепл гор петл3 0-400 ГРАД	
30.01.20 17:49:16,000	10JEC43CT003_XQ01	287	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:49:27,000	10JEC21CT832V_XQ01	287	°C	дост	Темп тепл гор петл2 0-400 ГРАД	
30.01.20 17:49:30,000	10JEC21CT822V_XQ01	288	°C	дост	Темп тепл гор петл2 0-400 ГРАД	
30.01.20 17:49:30,000	10JEC33CT003_XQ01	287	°C	дост	Т ТН ХЛД НТК ПЕТ 0-400 ГРАД	
30.01.20 17:49:33,000	10JEC21CT831Y_XQ01	287	°C	дост	Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
30.01.20 17:49:33,000	10JEC21CT831_XQ01	287	°C	дост	Темп тепл гор петл 0-400 ГРАД	
30.01.20 17:49:48,000	10JEC41CT832V_XQ01	287	°C	дост	Темп тепл гор петл4 0-400 ГРАД	
30.01.20 17:50:01,000	10JEC31CT941A_XQ01	287	°C	дост	МО Темп тепл гор петл3 0-400 ГРАД	
30.01.20 17:50:02,000	10JEC31CT921A_XQ01	287	°C	дост	2V3Т ТН ГРЧ НТК ПЕТ 0-400 ГРАД	
