НвАЭС2  АРМ ПЗ (10CWH10)
Имя пользователя: PLS, Имя протокола: cfdi_nvate_diskret 
Создано: 04.08.2016 09:36:33, Выборка: 04.08.16 09:00:00 - 04.08.16 09:10:00
Время	KKS	Знач	Ед.изм	Дост	Описание	
03.08.16 09:23:16,840	10LAB01AA005_OU	КВИТИРОВАТЬ		дост	ЗДВ-1 РЕЦ ПЭН1	
03.08.16 09:23:16,867	10LAB05AA006_OU	КВИТИРОВАТЬ		дост	ЗДВ ХОВ ВСАС ПЭН5	
03.08.16 09:24:15,522	10LBA10EJ001_ZV31	0		повт.дост	Участок главного паропровода 10LBA10 в помещении UJA (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA10EJ001_ZV32	0		повт.дост	Участок главного паропровода 10LBA10 в помещении UJA (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA10EJ001_ZV41	0		повт.дост	Участок главного паропровода 10LBA10 в помещении UJA (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA10EJ001_ZV42	0		повт.дост	Участок главного паропровода 10LBA10 в помещении UJA (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA10EJ001_ZV61	0		повт.дост	Сигнализация о течи на участке главного паропровода 10LBA10 в помещении UJA (комплексный анализ)	
03.08.16 09:24:15,522	10LBA10EJ001_ZV62	0		повт.дост	Сигнализация о вероятной течи на участке главного паропровода 10LBA10 в помещении UJA (комплексный анализ)	
03.08.16 09:24:15,522	10LBA10EJ002_ZV31	0		повт.дост	Участок главного паропровода 10LBA10 в помещении UJE (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA10EJ002_ZV32	0		повт.дост	Участок главного паропровода 10LBA10 в помещении UJE (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA10EJ002_ZV41	0		повт.дост	Участок главного паропровода 10LBA10 в помещении UJE (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA10EJ002_ZV42	0		повт.дост	Участок главного паропровода 10LBA10 в помещении UJE (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA10EJ002_ZV61	0		повт.дост	Сигнализация о течи на участке главного паропровода 10LBA10 в помещении UJE (комплексный анализ)	
03.08.16 09:24:15,522	10LBA10EJ002_ZV62	0		повт.дост	Сигнализация о вероятной течи на участке главного паропровода 10LBA10 в помещении UJE (комплексный анализ)	
03.08.16 09:24:15,522	10LBA20EJ001_ZV31	0		повт.дост	Участок главного паропровода 10LBA20 в помещении UJA (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA20EJ001_ZV32	0		повт.дост	Участок главного паропровода 10LBA20 в помещении UJA (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA20EJ001_ZV41	0		повт.дост	Участок главного паропровода 10LBA20 в помещении UJA (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA20EJ001_ZV42	0		повт.дост	Участок главного паропровода 10LBA20 в помещении UJA (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA20EJ001_ZV61	0		повт.дост	Сигнализация о течи на участке главного паропровода 10LBA20 в помещении UJA (комплексный анализ)	
03.08.16 09:24:15,522	10LBA20EJ001_ZV62	0		повт.дост	Сигнализация о вероятной течи на участке главного паропровода 10LBA20 в помещении UJA (комплексный анализ)	
03.08.16 09:24:15,522	10LBA20EJ002_ZV31	0		повт.дост	Участок главного паропровода 10LBA20 в помещении UJE (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA20EJ002_ZV32	0		повт.дост	Участок главного паропровода 10LBA20 в помещении UJE (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA20EJ002_ZV41	0		повт.дост	Участок главного паропровода 10LBA20 в помещении UJE (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA20EJ002_ZV42	0		повт.дост	Участок главного паропровода 10LBA20 в помещении UJE (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA20EJ002_ZV61	0		повт.дост	Сигнализация о течи на участке главного паропровода 10LBA20 в помещении UJE (комплексный анализ)	
03.08.16 09:24:15,522	10LBA20EJ002_ZV62	0		повт.дост	Сигнализация о вероятной течи на участке главного паропровода 10LBA20 в помещении UJE (комплексный анализ)	
03.08.16 09:24:15,522	10LBA30EJ001_ZV31	0		повт.дост	Участок главного паропровода 10LBA30 в помещении UJA (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA30EJ001_ZV32	0		повт.дост	Участок главного паропровода 10LBA30 в помещении UJA (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA30EJ001_ZV41	0		повт.дост	Участок главного паропровода 10LBA30 в помещении UJA (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA30EJ001_ZV42	0		повт.дост	Участок главного паропровода 10LBA30 в помещении UJA (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA30EJ001_ZV61	0		повт.дост	Сигнализация о течи на участке главного паропровода 10LBA30 в помещении UJA (комплексный анализ)	
03.08.16 09:24:15,522	10LBA30EJ001_ZV62	0		повт.дост	Сигнализация о вероятной течи на участке главного паропровода 10LBA30 в помещении UJA (комплексный анализ)	
03.08.16 09:24:15,522	10LBA30EJ002_ZV31	0		повт.дост	Участок главного паропровода 10LBA30 в помещении UJE (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA30EJ002_ZV32	0		повт.дост	Участок главного паропровода 10LBA30 в помещении UJE (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA30EJ002_ZV41	0		повт.дост	Участок главного паропровода 10LBA30 в помещении UJE (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA30EJ002_ZV42	0		повт.дост	Участок главного паропровода 10LBA30 в помещении UJE (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA30EJ002_ZV61	0		повт.дост	Сигнализация о течи на участке главного паропровода 10LBA30 в помещении UJE (комплексный анализ)	
03.08.16 09:24:15,522	10LBA30EJ002_ZV62	0		повт.дост	Сигнализация о вероятной течи на участке главного паропровода 10LBA30 в помещении UJE (комплексный анализ)	
03.08.16 09:24:15,522	10LBA40EJ001_ZV31	0		повт.дост	Участок главного паропровода 10LBA40 в помещении UJA (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA40EJ001_ZV32	0		повт.дост	Участок главного паропровода 10LBA40 в помещении UJA (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA40EJ001_ZV41	0		повт.дост	Участок главного паропровода 10LBA40 в помещении UJA (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA40EJ001_ZV42	0		повт.дост	Участок главного паропровода 10LBA40 в помещении UJA (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA40EJ001_ZV61	0		повт.дост	Сигнализация о течи на участке главного паропровода 10LBA40 в помещении UJA (комплексный анализ)	
03.08.16 09:24:15,522	10LBA40EJ001_ZV62	0		повт.дост	Сигнализация о вероятной течи на участке главного паропровода 10LBA40 в помещении UJA (комплексный анализ)	
03.08.16 09:24:15,522	10LBA40EJ002_ZV31	0		повт.дост	Участок главного паропровода 10LBA40 в помещении UJE (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA40EJ002_ZV32	0		повт.дост	Участок главного паропровода 10LBA40 в помещении UJE (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA40EJ002_ZV41	0		повт.дост	Участок главного паропровода 10LBA40 в помещении UJE (сигнализация о течи)	
03.08.16 09:24:15,522	10LBA40EJ002_ZV42	0		повт.дост	Участок главного паропровода 10LBA40 в помещении UJE (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LBA40EJ002_ZV61	0		повт.дост	Сигнализация о течи на участке главного паропровода 10LBA40 в помещении UJE (комплексный анализ)	
03.08.16 09:24:15,522	10LBA40EJ002_ZV62	0		повт.дост	Сигнализация о вероятной течи на участке главного паропровода 10LBA40 в помещении UJE (комплексный анализ)	
03.08.16 09:24:15,522	10LAB30EJ001_ZV31	0		повт.дост	Участок трубопровода питательной воды 10LAB30 в помещении UJA (сигнализация о течи)	
03.08.16 09:24:15,522	10LAB30EJ001_ZV32	0		повт.дост	Участок трубопровода питательной воды 10LAB30 в помещении UJA (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LAB30EJ001_ZV41	0		повт.дост	Участок трубопровода питательной воды 10LAB30 в помещении UJA (сигнализация о течи)	
03.08.16 09:24:15,522	10LAB30EJ001_ZV42	0		повт.дост	Участок трубопровода питательной воды 10LAB30 в помещении UJA (сигнализация о вероятной течи)	
03.08.16 09:24:15,522	10LAB30EJ001_ZV61	0		повт.дост	Сигнализация о течи на участке трубопровода питательной воды 10LAB30 в помещении UJA (комплексный анализ)	
03.08.16 09:24:15,522	10LAB30EJ001_ZV62	0		повт.дост	Сигнализация о вероятной течи на участке трубопровода питательной воды 10LAB30 в помещении UJA (комплексный анализ)	
03.08.16 09:24:15,522	10LAB30EJ002_ZV41	0		повт.дост	Участок трубопровода питательной воды 10LAB30 в помещении UJE (сигнализация о течи)	
03.08.16 09:24:15,522	10LAB30EJ002_ZV42	0		повт.дост	Участок трубопровода питательной воды 10LAB30 в помещении UJE (сигнализация о вероятной течи)	
